,twp,Population,Households,Race_w,num_high_edu,Employment,Income
52,PERKIOMEN,"9,152","3,150","7,488","3,162","4,758","$105,789.000000"
53,SOUDERTON,"6,629","2,674","5,704","1,519","3,624","$59,262.000000"
54,UPPER POTTSGROVE,"5,338","1,857","4,947","1,308","2,927","$86,068.000000"
55,LOWER FREDERICK,"4,864","1,892","4,572","1,285","2,940","$82,989.000000"
56,BUCKS,"625,977","230,366",541k,188k,319k,"$76,555.000000"
57,RED HILL,"2,504","1,085","2,261",494,"1,101","$52,862.000000"
58,WEST POTTSGROVE,"3,869","1,494","3,258",551,"2,023","$58,500.000000"
59,EAST GREENVILLE,"2,969","1,145","2,808",481,"1,635","$65,199.000000"
60,BERKS,"412,078","153,897",313k,81.2k,195k,"$55,170.000000"
61,NORTH WALES,"3,237","1,435","2,906","1,062","1,951","$64,076.000000"
62,JENKINTOWN,"4,426","1,936","3,991","1,934","2,262","$64,342.000000"
63,TRAPPE,"3,529","1,355","3,018","1,238","1,739","$75,920.000000"
64,NARBERTH,"4,289","1,876","3,854","2,279","2,588","$85,543.000000"
65,GREEN LANE,376,171,370,76,259,"$56,250.000000"
66,PHILADELPHIA,"1,536,704","580,017",562k,289k,619k,"$37,192.000000"
